num,name,element,str3,utc,tc,journal,Predicted_Tc,Abs_Error
158881,LaH,La1H10,fcc,K,250.0,Nature 569(2019)528,3.0354028,246.9645972251892
33305,HgBa2Ca2Cu3O8,Hg1Ba2Ca2Cu3O8+z,Hg1223,K,134.5,"Phys.Rev.Lett., 79(1997)2320",2.306925,132.19307494163513
109318,TaB2,B2Ta1,AlB2,K,9.5,cond-mat/0103571(2001),140.25467,130.75466918945312
2308,Tl2Ba2Ca2Cu3O10,Tl2Ba2Ca2Cu3O10+Z,Tl2223,K,129.0,"Physica.C,162-164(1989)476-477",2.9006038,126.09939622879028
20274,HgBa2Ca2Cu3O8,Hg1Ba2Ca2Cu3O8.35,Hg1223,K,134.0,"Physica Status Solidi(a), 152(1995)477-483",10.417598,123.58240222930908
101330,Ge0.5Pt0.5,Ge0.5Pt0.5,,K,1.4,"ZH.ETF PIS'MA RED.,18(1973)94",124.74546,123.3454605102539
102837,Ta2B1,B1Ta2,,K,3.12,PRENUM PRESS 1973,124.158646,121.03864562988281
4572,HgBa2CaCu2O6,Hg1Ba2Ca1Cu2O6+z,Hg1212,K,128.0,"Physica C,221(1994)1-10",6.970265,121.02973508834839
40302,Mo2B,B1Mo2,,K,4.74,"Phys.Rev.B,87(1952)799",124.54328,119.80328155517579
158374,K0.4MoS2,K0.4Mo1S2,,K,6.9,"Phys.Rev.B, 13(1976)3843",124.74546,117.8454605102539
